,name,description,price,product_details,variatal,size,country,closure,target
19,the shinobu pure mal,15 year mizunara oak finish whisky,210.0,"deep wood aroma, maltose, nectar, blueberry, mizunara oak, milk coffee; oily, ripe fruit, lemon peel, leather, cinnamon, ginger. finished with a hint of sweet malt with aromas of wooden barrels and a touch of fruity flavor.

summary: this is richer in taste than the 10-year-old whisky. the sweet aftertaste is outstanding; mizunara barrel brings out different levels of spice flavors. deep floral woody scent is also full of vitality.
 
tasting notes:
colour: old gold
nose: deep wood aroma, maltose, nectar, blueberry, mizunara oak, milk coffee
palate: oily, ripe fruit, lemon peel, leather, cinnamon, ginger

finish: a hint of sweet malt with aromas of wooden barrels and a touch of fruity flavor.",blended,700.0,15 year old,unknown,1
20,hakushu,12 year old whisky 700ml,320.0,"the hakushu distillery is know as the 'mountain forest distillery' as it stands amidst fresh streams and lush forests. built with the notion, 'coexisting with nature', a bird sanctuary was set up to help preserve the natural environment, thus preserving the pristine water that goes into creating the whisky. the 12 year old single malt whisky has a crisp and vibrant taste and can be enjoyed on neat, on the rocks or with ice and soda water.",single malt,700.0,hakushu,cork,1
21,hakushu,single malt whisky 700ml,119.99,"produced from the pure waters of the southern japanese alps, hakushu distillers reserve is a green and fresh whisky with a crisp and vibrant taste. now, for the first time ever, this whisky is available outside of japan.",single malt,700.0,japan,cork,1
22,talisker,port ruighe single malt scotch whisky 700ml,92.0,"double matured in port casks, this malt is a toast to the scottish traders who braved the high seas and were instrumental in founding the port wine trade, shipping it to the world. 'port ruighe' (pronounced 'portree') is the gaelic spelling of the once bustling trading port on skye. the port finish combines talisker's powerful maritime character with succulent sweet notes of rich berry fruits for a superb contrasting taste experience.",single malt,700.0,scotland,unknown,0
23,the macallan,12 year old triple cask matured single malt scotch whisky 700ml,109.95,"the macallan triple cask matured 12 years old sees the expert marrying of a series of single malt whiskies. these have been crafted in a triple cask combination of european and american sherry seasoned oak casks and american ex-bourbon oak casks. this complex combination of oak casks delivers an extraordinarily smooth and delicate character, full of citrus fruits, vanilla and fresh oak.",single malt,700.0,scotland,unknown,1
24,glenmorangie,the lasanta single malt scotch whisky 700ml,89.95,"a traditional, non-chill filtered whisky aged in sherry and bourbon casks. extra long maturation lends elegance, depth and warmth, and a soft, rich palate that is tantalising and entrancing.",single malt,700.0,scotland,cork,0
25,the balvenie,17 year old doublewood single malt scotch 700ml,177.99,"balvenie's elder sibling to doublewood 12 year old, shares similar characteristics to their most popular expression but has a distinctly different taste, with deeper vanilla notes, hints of green apple, creamy toffee and a lovely richness and complexity. 'cask finishing' - the defining technique of balvenie doublewood, involves the whisky matured first in american oak casks and then in european oak sherry casks, each adding their own character to the scotch.",single malt,700.0,scotland,unknown,1
26,the glenlivet,12 year old single malt scotch whisky 700ml,69.9,"one of the worlds most recognised scotch whisky's, glenlivet is a supremely elegant whisky of rewarding and subtle complexity. smoke, clover honey and heather will have you coming back for more time and again.",single malt,700.0,scotland,unknown,0
27,glenmorangie,signet single malt scotch whisky 700ml,214.99,"the culmination of a life-time's experience of glenmorangie's whisky creators, signet is a fusion of some of the oldest and rarest whiskies from the glenmorangie archives aged in designer casks. incredibly smooth, signet tantalises with sizzling spices, before the voluptuous texture of rich chocolate and dark intense aromatic coffee create a veritable velvet explosion of taste. with its iconic, powerful bottle and a statuesque gift box, the stunning packaging visually reflects the beauty of this ultra-stylish and luxurious single malt whisky. with rave reviews by whisky connoisseurs and epicureans alike, this is very limited edition and won't be around for long.",single malt,700.0,scotland,cork,1
28,ardbeg,10 year old scotch whisky 700ml,82.95,"ardbeg 10 year old single malt is typical islay (eye-la). light gold colour with exceptional balance and depth on the nose. the aroma is a beguiling mix of toffee and chocolate sweetness, cinnamon spice, fresh citrus and floral notes of white wine are evident, as are melon, pear drops and a gentle creaminess. there is also fresh phenolics of seaspray and smoked fish. hickory and coffee emerge on the finish.",single malt,700.0,scotland,unknown,0
29,lark,classic cask single malt australian whisky 500ml,164.95,"double-distilled in locally crafted copper-pot stills and aged in carefully selected small casks,  lark classic cask whisky features citrus and butterscotch with a hint of tasmanian peat. a great balance of sweet, spicy and savoury elements make this the perfect dram for whisky-lovers. excellent neat or with a drop or two of filtered water.
nose: golden syrup and vanilla with hints of oranges and grapefruit. plum pudding, christmas cake, cinnamon sticks, nutmeg and a wisp of tasmanian peat smoke.
palate: sweet vanilla transforms into a combination of orange peel, butterscotch, cloves, nutmeg and grapefruit.
finish: butterscotch and citrus notes with a long satisfying smoky finish.",single malt,500.0,australia,cork,1
30,the macallan,rare cask single malt scotch whisky 700ml,399.99,"the rare cask's rich mahogany-red whisky showcases two of the macallan’s greatest and most defining strengths - sherry seasoned oak casks and natural colour. for this spectacular whisky, 16 different cask styles were individually hand chosen for their character, some casks so rare they will never be used again. this spicy quartet is unwavering in flavour. oak resonates, timeless, polished and rich. vanilla and chocolate lead the finale along with a light citrus zest. ending perfectly warming and woody.",single malt,700.0,scotland,unknown,1
31,teeling,24 year old single malt irish whiskey 700ml,600.0,"the teeling 24 year old single malt was first distilled in 1991 and matured in bourbon casks, then allowed marry in sauterne wine casks, allowing for a wholly unique irish whiskey taste experience. bottled at 46% with no chill filtration completing a whiskey of true character.",single malt,700.0,ireland,cork,1
32,oban,14 year old single malt scotch whisky 700ml,109.95,"oban is one of scotland’s oldest and smallest distilleries. it was founded in 1794 and the west highland port town of the same name has grown around the distillery. it is the one single malt scotch whisky in which the rich, complex flavours of the highlands meet and mingle with the peaty, maritime character of the islands. balancing autumn fruits and sea air, oban whisky owes its rich and rewarding highland character to a very long fermentation process. the tiny lamp glass-shaped copper pot stills that make oban’s scotch are among the smallest in scotland, and the liquor they distil is slowly condensed in wooden worm tubs outside among the rooftops, exposed to the salted sea air, bringing a distinct depth of flavour said to go very well with salted caramel.",single malt,700.0,scotland,unknown,1
